"","release_year","num_games_per_year"
"1","1983",1
"2","1984",2
"3","1985",1
"4","1986",1
"5","1987",4
"6","1988",5
"7","1989",5
"8","1990",8
"9","1991",7
"10","1992",7
"11","1993",16
"12","1994",23
"13","1995",27
"14","1996",36
"15","1997",36
"16","1998",42
"17","1999",45
"18","2000",36
"19","2001",46
"20","2002",40
"21","2003",72
"22","2004",61
"23","2005",79
"24","2006",110
"25","2007",119
"26","2008",153
"27","2009",236
"28","2010",280
"29","2011",384
"30","2012",529
"31","2013",796
"32","2014",1532
"33","2015",2603
"34","2016",4309
"35","2017",5778
"36","2018",6979
"37","2019",2877
"38","2020",1
"39","2023",1
"40",NA,647
